year_month,Series ID_x,CPI,Series ID_y,PPI
1973/03,CUUR0000SEFG,40.5,,
1973/04,CUUR0000SEFG,41.4,,
1973/05,CUUR0000SEFG,42.4,,
1973/06,CUUR0000SEFG,43.4,,
1973/07,CUUR0000SEFG,43.4,,
1973/08,CUUR0000SEFG,43.8,,
1973/09,CUUR0000SEFG,44.3,,
1973/10,CUUR0000SEFG,45.3,,
1973/11,CUUR0000SEFG,46.6,,
1973/12,CUUR0000SEFG,47.2,,
1974/01,CUUR0000SEFG,47.8,,
1974/02,CUUR0000SEFG,48.4,,
1974/03,CUUR0000SEFG,49.1,,
1974/04,CUUR0000SEFG,49.5,,
1974/05,CUUR0000SEFG,49.6,,
1974/06,CUUR0000SEFG,49.6,,
1974/07,CUUR0000SEFG,49.9,,
1974/08,CUUR0000SEFG,49.6,,
1974/09,CUUR0000SEFG,50.0,,
1974/10,CUUR0000SEFG,50.4,,
1974/11,CUUR0000SEFG,51.3,,
1974/12,CUUR0000SEFG,51.6,,
1975/01,CUUR0000SEFG,51.8,,
1975/02,CUUR0000SEFG,52.2,,
1975/03,CUUR0000SEFG,52.2,,
1975/04,CUUR0000SEFG,52.3,,
1975/05,CUUR0000SEFG,52.7,,
1975/06,CUUR0000SEFG,53.1,,
1975/07,CUUR0000SEFG,53.8,,
1975/08,CUUR0000SEFG,54.3,,
1975/09,CUUR0000SEFG,55.1,,
1975/10,CUUR0000SEFG,55.8,,
1975/11,CUUR0000SEFG,56.1,,
1975/12,CUUR0000SEFG,56.7,,
1976/01,CUUR0000SEFG,57.3,,
1976/02,CUUR0000SEFG,58.1,,
1976/03,CUUR0000SEFG,58.1,,
1976/04,CUUR0000SEFG,58.9,,
1976/05,CUUR0000SEFG,59.6,,
1976/06,CUUR0000SEFG,60.0,,
1976/07,CUUR0000SEFG,60.4,,
1976/08,CUUR0000SEFG,60.8,,
1976/09,CUUR0000SEFG,62.1,,
1976/10,CUUR0000SEFG,62.1,,
1976/11,CUUR0000SEFG,62.4,,
1976/12,CUUR0000SEFG,62.9,,
1977/01,CUUR0000SEFG,63.1,,
1977/02,CUUR0000SEFG,63.9,,
1977/03,CUUR0000SEFG,64.0,,
1977/04,CUUR0000SEFG,64.6,,
1977/05,CUUR0000SEFG,65.9,,
1977/06,CUUR0000SEFG,66.4,,
1977/07,CUUR0000SEFG,67.4,,
1977/08,CUUR0000SEFG,68.0,,
1977/09,CUUR0000SEFG,68.6,,
1977/10,CUUR0000SEFG,69.0,,
1977/11,CUUR0000SEFG,69.5,,
1977/12,CUUR0000SEFG,69.6,,
